rank,source,candidate_scope,herb_id,herb_latin,herb_chinese,herb_pinyin,adr_id,adr_pt,prediction_score,database_verified,direct_literature_support,mechanistic_support,evidence_grade,literature_record_count,literature_support_candidate_count,verified_literature_count,manual_review_required,mechanism_path_count,top_mechanism_paths,contribution_count,top_contributions,evidence_interpretation
1,table5_top15,legacy_msat_top15_case_candidate,234,Anemone obtusiloba,,DUN LIE YIN LIAN HUA,3989,Altered state of consciousness,0.99946,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
2,table5_top15,legacy_msat_top15_case_candidate,237,Fragaria vesca L.,野草莓,YE CAO MEI,3989,Altered state of consciousness,0.9993899999999999,False,False,True,C,9,0,0,True,1,成分介导：野草莓（Fragaria vesca L.） → Compound #1073 → Target #2586 ← Altered state of consciousness,1,mechanistic_support,"mechanistic graph support only; useful for explanation, needs external review"
3,table5_top15,legacy_msat_top15_case_candidate,234,Anemone obtusiloba,,DUN LIE YIN LIAN HUA,3698,Spermatogenesis arrest,0.99937,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
4,table5_top15,legacy_msat_top15_case_candidate,526,Castanea mollissima,板栗,LI SHU PI,3698,Spermatogenesis arrest,0.9993500000000001,False,False,False,D,9,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
5,table5_top15,legacy_msat_top15_case_candidate,483,Cortex Citri,香椽皮,XIANG CHUAN PI,3989,Altered state of consciousness,0.99934,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
6,table5_top15,legacy_msat_top15_case_candidate,237,Fragaria vesca L.,野草莓,YE CAO MEI,1323,Haemoglobin increased,0.99928,False,False,False,D,9,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
7,table5_top15,legacy_msat_top15_case_candidate,234,Anemone obtusiloba,,DUN LIE YIN LIAN HUA,4535,Flushing,0.99928,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
8,table5_top15,legacy_msat_top15_case_candidate,234,Anemone obtusiloba,,DUN LIE YIN LIAN HUA,4363,Vegetative dystonia,0.99926,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
9,table5_top15,legacy_msat_top15_case_candidate,526,Castanea mollissima,板栗,LI SHU PI,4363,Vegetative dystonia,0.9992300000000001,False,False,False,D,9,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
10,table5_top15,legacy_msat_top15_case_candidate,539,Moroxydini Hydrochloridum,盐酸吗啉胍,YAN SUAN MA LIN GUA,3989,Altered state of consciousness,0.99922,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
11,table5_top15,legacy_msat_top15_case_candidate,145,Cynara cardunculus,刺菜蓟,CI CAI JI,4535,Flushing,0.99922,False,False,False,D,8,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
12,table5_top15,legacy_msat_top15_case_candidate,237,Fragaria vesca L.,野草莓,YE CAO MEI,4363,Vegetative dystonia,0.99921,False,False,False,D,9,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
13,table5_top15,legacy_msat_top15_case_candidate,337,Trifolium alexandrinum,埃及三叶草,AI JI CHE ZHOU CAO,3989,Altered state of consciousness,0.99921,False,False,False,D,9,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
14,table5_top15,legacy_msat_top15_case_candidate,234,Anemone obtusiloba,,DUN LIE YIN LIAN HUA,2453,Spina bifida,0.9992,False,False,False,D,0,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
15,table5_top15,legacy_msat_top15_case_candidate,339,Isodon melissoides,,BAO YE XIANG CHA CAI,3989,Altered state of consciousness,0.9992,False,False,False,D,1,0,0,True,0,,0,,"prediction-only candidate; retain for manual screening, not evidence-backed"
1,case_zhishi_diarrhoea,curated_explanation_case_not_table5_reproduction,277,,,,2931,,0.6849409937858582,False,False,True,C,0,0,0,True,14,枳实（Citrus aurantium L.） → nobiletin (CID 72344) → Target #8967 → Watery diarrhoea | 枳实（Citrus aurantium L.） → nobiletin (CID 72344) → Target #8101 → Watery diarrhoea | 枳实（Citrus aurantium L.） → Compound #523 → Target #7802 → Watery diarrhoea,2,nobiletin_cid=72344 | transporter=ABCG2 (BCRP),"mechanistic graph support only; useful for explanation, needs external review"
