contribution_group,rank,feature,node_type,node_id,path_features,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
component,1,compound:1073,compound,1073,,1,1,1.26362e-05,1.26362e-05,0,1,0
component,2,compound:965,compound,965,,1,1,1.192e-07,1.192e-07,0,1,0
component,3,compound:1023,compound,1023,,1,1,-2.861e-06,-2.861e-06,0,1,0
target,1,target:7213,target,7213,,1,1,4.7684e-06,4.7684e-06,0,1,0
target,2,target:2586,target,2586,,1,1,1.9073e-06,1.9073e-06,0,1,0
target,3,target:6478,target,6478,,1,1,1.4305e-06,1.4305e-06,0,1,0
pathway,1,path:2,,,compound:1073;target:7213,1,2,1.75238e-05,1.75238e-05,0,2,0
pathway,2,path:1,,,compound:1073;target:2586,1,2,1.45435e-05,1.45435e-05,0,2,0
pathway,3,path:10,,,compound:965;target:7213,1,2,4.8876e-06,4.8876e-06,0,2,0
pathway,4,path:3,,,compound:965;target:2586,1,2,2.0266e-06,2.0266e-06,0,2,0
pathway,5,path:11,,,compound:1023;target:7213,1,2,1.9073e-06,1.9073e-06,0,2,0
pathway,6,path:12,,,compound:1023;target:6478,1,2,-1.4305e-06,-1.4305e-06,0,2,0
